Pair,Regime
BOX.JO-DTC.JO,Trend Following
BOX.JO-EMI.JO,Trend Following
BOX.JO-EQU.JO,Trend Following
BOX.JO-EXX.JO,Trend Following
BOX.JO-FBR.JO,Trend Following
BOX.JO-FFB.JO,Trend Following
BOX.JO-FSR.JO,Trend Following
BOX.JO-FTB.JO,Trend Following
BOX.JO-GFI.JO,Trend Following
BOX.JO-GLN.JO,Trend Following
BOX.JO-GND.JO,Trend Following
BOX.JO-GRT.JO,Trend Following
BOX.JO-HAR.JO,Trend Following
BOX.JO-HCI.JO,Trend Following
BOX.JO-HDC.JO,Trend Following
BOX.JO-HMN.JO,Trend Following
BOX.JO-HYP.JO,Trend Following
BOX.JO-IMP.JO,Trend Following
BOX.JO-INL.JO,Trend Following
BOX.JO-INP.JO,Trend Following
BOX.JO-ITE.JO,Trend Following
BTI.JO-EQU.JO,Trend Following
BTN.JO-FBR.JO,Trend Following
BVT.JO-DCP.JO,Trend Following
BVT.JO-DTC.JO,Trend Following
BVT.JO-GFI.JO,Trend Following
BVT.JO-HCI.JO,Trend Following
BYI.JO-CML.JO,Trend Following
BYI.JO-CPI.JO,Trend Following
BYI.JO-EMI.JO,Trend Following
BYI.JO-FFB.JO,Trend Following
BYI.JO-FTB.JO,Trend Following
BYI.JO-GRT.JO,Trend Following
CFR.JO-HCI.JO,Trend Following
CLS.JO-HDC.JO,Trend Following
CML.JO-EMI.JO,Trend Following
CML.JO-EQU.JO,Trend Following
CML.JO-FFB.JO,Trend Following
CML.JO-FTB.JO,Trend Following
CML.JO-GRT.JO,Trend Following
CPI.JO-EQU.JO,Trend Following
CPI.JO-FTB.JO,Trend Following
CSB.JO-ITE.JO,Trend Following
DCP.JO-INL.JO,Trend Following
DCP.JO-INP.JO,Trend Following
DCP.JO-ITE.JO,Trend Following
DSY.JO-FTB.JO,Trend Following
DSY.JO-GLN.JO,Trend Following
DTC.JO-HAR.JO,Trend Following
DTC.JO-HCI.JO,Trend Following
EMI.JO-FFB.JO,Trend Following
EMI.JO-FTB.JO,Trend Following
EQU.JO-FFB.JO,Trend Following
EQU.JO-FTB.JO,Trend Following
EQU.JO-IMP.JO,Trend Following
EXX.JO-FBR.JO,Trend Following
EXX.JO-FSR.JO,Trend Following
EXX.JO-FTB.JO,Trend Following
EXX.JO-GLN.JO,Trend Following
EXX.JO-GND.JO,Trend Following
EXX.JO-GRT.JO,Trend Following
EXX.JO-HAR.JO,Trend Following
EXX.JO-HDC.JO,Trend Following
EXX.JO-HYP.JO,Trend Following
EXX.JO-INL.JO,Trend Following
EXX.JO-INP.JO,Trend Following
FFB.JO-FTB.JO,Trend Following
FFB.JO-GRT.JO,Trend Following
HAR.JO-HCI.JO,Trend Following
HMN.JO-HYP.JO,Trend Following
HMN.JO-IMP.JO,Trend Following
HMN.JO-INL.JO,Trend Following
HMN.JO-INP.JO,Trend Following
HMN.JO-ITE.JO,Trend Following
INL.JO-INP.JO,Trend Following
